position,title,address,latitude,longitude,rating,ratingCount,category,phoneNumber,website,cid,query,brand,branch,query_result_number,brand_match,bookingLinks
4,Zenith Residential - Estate Agent,"68-72 Newtownards Rd, Belfast BT4 1GW",54.6004944,-5.9091716,5.0,43.0,Estate Agent,028 9620 7360,http://www.zenithresidential.com/,8409719325514304617,estate agents in belfast,Property People ,Belfast,24,False,
5,"Forsythe Residential (Antrim Road, Belfast)","642 Antrim Rd, Belfast BT15 5GP",54.642600400000006,-5.9363385,4.9,70.0,Estate agent,028 9099 4444,https://www.forsytheresidential.co.uk/book-a-valuation,9588203285856608814,estate agents in belfast,Property People ,Belfast,25,False,
6,HMK Property,"8 Grand Parade, Belfast BT5 5HH",54.585342399999995,-5.8889335,4.9,33.0,Estate agent,028 9039 7712,http://www.hmkproperty.com/,16316789115568191937,estate agents in belfast,Property People ,Belfast,26,False,
7,McClearys Estate Agents,"142 Cregagh Rd, Castlereagh, Belfast BT6 9ET",54.5786295,-5.8965247,3.9,76.0,Estate agent,028 9020 7111,http://www.mcclearys.co.uk/,17348025972237995554,estate agents in belfast,Property People ,Belfast,27,False,
8,Ulster Property Sales,"601 Lisburn Rd, Belfast BT9 7GS",54.5743836,-5.9571681,4.9,159.0,Estate Agent,028 9066 1929,http://www.ulsterpropertysales.co.uk/,12120608930728386886,estate agents in belfast,Property People ,Belfast,28,False,
9,John Minnis Estate Agents,"402 Upper Newtownards Rd, Belfast BT4 3GE",54.59513810000001,-5.8656659,4.4,92.0,Estate Agent,028 9065 3333,http://www.johnminnis.co.uk/,15779276912786633840,estate agents in belfast,Property People ,Belfast,29,False,
10,Pooler,"36 Cregagh Rd, Belfast BT6 9EQ",54.584466,-5.8986931,4.2,5.0,Estate Agent,028 9045 3319,https://www.poolerestateagents.com/,15040020562287073004,estate agents in belfast,Property People ,Belfast,30,False,
1,LJ Rentals Estate Agents,"20 Stranmillis Rd, Belfast BT9 5AA",54.5808913,-5.9353364,4.5,41.0,Property Rental Agency,028 9065 3466,http://www.ljrentals.co.uk/,2157785920988883680,estate agents in belfast,Property People ,Belfast,31,False,
2,Cairns & Co,"32 Cregagh Rd, Belfast BT6 9EQ",54.5845523,-5.8987288,4.1,28.0,Estate Agent,028 9073 8888,http://www.cairnsni.com/,3319587220281603110,estate agents in belfast,Property People ,Belfast,32,False,
3,McMillan McClure,"11 Portland Ave, Glengormley, Newtownabbey BT36 5EY",54.6717552,-5.9575797,4.9,769.0,Estate agent,028 9080 0000,http://www.mcmillanmcclure.com/,12259138218418860245,estate agents in belfast,Property People ,Belfast,33,False,
4,McGeown Estate Agents,"437 Lisburn Rd, Belfast BT9 7EY",54.5785197,-5.951931900000001,5.0,2.0,Estate Agent,028 9066 8555,https://www.mcgeowns.co.uk/,3733035890206897042,estate agents in belfast,Property People ,Belfast,34,False,
5,Templeton Robinson,"563 Lisburn Rd, Belfast BT9 7GQ",54.575311299999996,-5.9559745,4.6,137.0,Estate Agent,028 9066 3030,http://www.templetonrobinson.com/,7467490558773436693,estate agents in belfast,Property People ,Belfast,35,False,
6,McClearys Estate Agents,"142 Cregagh Rd, Castlereagh, Belfast BT6 9ET",54.5786295,-5.8965247,3.9,76.0,Estate agent,028 9020 7111,http://www.mcclearys.co.uk/,17348025972237995554,estate agents in belfast,Property People ,Belfast,36,False,
7,Redian Real Estate Belfast,"136 Lisburn Rd, Belfast BT9 6AJ",54.5831689,-5.9446924,5.0,28.0,Estate Agent,028 9049 0193,https://www.redian.co.uk/,7700642589116146991,estate agents in belfast,Property People ,Belfast,37,False,
8,Ulster Property Sales Andersonstown,"138 Andersonstown Rd, Belfast BT11 9BY",54.573448199999994,-5.9883152,4.6,105.0,Estate agent,028 9060 5200,http://www.ulsterpropertysales.co.uk/,14098152005390845394,estate agents in belfast,Property People ,Belfast,38,False,
9,HMK Property,"8 Grand Parade, Belfast BT5 5HH",54.585342399999995,-5.8889335,4.9,33.0,Estate agent,028 9039 7712,http://www.hmkproperty.com/,16316789115568191937,estate agents in belfast,Property People ,Belfast,39,False,
10,Anthony Jamieson,Belfast BT7 3GB,54.579002200000005,-5.9197896,4.6,26.0,Estate agent,028 9099 6122,https://www.anthonyjamieson.com/,760655916035459682,estate agents in belfast,Property People ,Belfast,40,False,
1,YPG Estate Agents & Letting Agency Belfast East,"350 Beersbridge Rd, Belfast BT5 5DY",54.59375,-5.8872292999999996,4.7,70.0,Estate Agent,028 9059 8583,https://www.yourpropertygeeks.com/,13155354551858900781,estate agents in belfast,Property People ,Belfast,41,False,
2,Property Link NI - Estate Agents,"36 Lisburn Rd, Belfast BT9 6AA",54.587078,-5.9383798,3.4,132.0,Estate agent,028 9066 3106,http://www.propertylinkni.co.uk/,288721997938137014,estate agents in belfast,Property People ,Belfast,42,False,
3,TMC Estate Agents,"140 Upper Lisburn Rd, Finaghy, Belfast BT10 0BG",54.5609174,-5.9854726,3.9,50.0,Estate agent,028 9062 0620,http://www.tmcestateagents.com/,5999008254213653625,estate agents in belfast,Property People ,Belfast,43,False,
4,Simon Brien,"525 Lisburn Rd, Belfast BT9 7GQ",54.5761949,-5.9548263,4.2,146.0,Estate Agent,028 9066 8888,http://www.simonbrien.com/,6564808527993777660,estate agents in belfast,Property People ,Belfast,44,False,
5,Natalie Clarke Residential,"17 Malone Rd, Belfast BT9 6RT",54.581738099999995,-5.9383681,3.5,106.0,Estate agent,028 9031 0500,http://www.natalieclarke.com/,6795526055058765174,estate agents in belfast,Property People ,Belfast,45,False,
6,Goldsmith Estates,"53 University St, Belfast BT7 1FY",54.586070199999995,-5.9331261,3.6,8.0,Estate agent,028 9023 4455,https://www.goldsmithestates.com/,3303320078438438297,estate agents in belfast,Property People ,Belfast,46,False,
7,Ulster Property Sales Rental Division,"324a Upper Newtownards Rd, Belfast BT4 3EX",54.595428,-5.8699068,5.0,69.0,Estate agent,028 9070 1000,http://www.ulsterpropertysales.co.uk/,18052736066476712768,estate agents in belfast,Property People ,Belfast,47,False,
8,Pooler,"36 Cregagh Rd, Belfast BT6 9EQ",54.584466,-5.8986931,4.2,5.0,Estate Agent,028 9045 3319,https://www.poolerestateagents.com/,15040020562287073004,estate agents in belfast,Property People ,Belfast,48,False,
9,Privilege Properties,"125 North City Business, 2, Duncairn Gardens, Belfast BT15 2GG",54.611330499999994,-5.9274043999999995,5.0,14.0,Estate Agent,028 9092 0093,http://privilege-properties.com/,287450237622072508,estate agents in belfast,Property People ,Belfast,49,False,
10,Simon Brien,"237 Upper Newtownards Rd, Ballyhackamore, Belfast BT4 3JF",54.5950778,-5.8681510999999995,4.6,68.0,Estate Agent,028 9059 5555,http://www.simonbrien.com/,15840857664265676911,estate agents in belfast,Property People ,Belfast,50,False,
1,RS Laird & Son,"5 University St, Belfast BT7 1FY",54.5860565,-5.9351306,3.3,66.0,Property Rental Agency,028 9024 8072,http://www.rslaird.co.uk/,9976549781648939332,estate agents in belfast,Property People ,Belfast,51,False,
2,McMillan McClure,"11 Portland Ave, Glengormley, Newtownabbey BT36 5EY",54.6717552,-5.9575797,4.9,769.0,Estate agent,028 9080 0000,http://www.mcmillanmcclure.com/,12259138218418860245,estate agents in belfast,Property People ,Belfast,52,False,
3,McG Shanks Estate Agents,"225 Antrim Rd, Belfast BT15 2GY",54.6154872,-5.9371279999999995,3.7,32.0,Estate agent,028 9031 9090,https://www.shanksestateagents.com/,11173162642542738396,estate agents in belfast,Property People ,Belfast,53,False,
4,Templeton Robinson,"Ballyhackamore, 326 Upper Newtownards Rd, Belfast BT4 3EX",54.595430099999994,-5.8696247,4.5,57.0,Estate agent,028 9065 0000,http://www.templetonrobinson.com/location/belfast-ballyhackamore,1262148985372237748,estate agents in belfast,Property People ,Belfast,54,False,
5,Giant Property,"100 Lisburn Rd, Belfast BT9 6AG",54.584956,-5.941185099999999,3.9,139.0,Estate Agent,028 9066 7873,http://giantproperty.co.uk/,491925375873166240,estate agents in belfast,Property People ,Belfast,55,False,
6,Property People Estate & Letting Agents Belfast,"223 Antrim Rd, Belfast BT15 2GY",54.6153896,-5.937055399999999,4.1,151.0,Estate Agent,028 9074 7300,https://www.propertypeopleni.com/location/north-and-west/?utm_source=localmaps&utm_medium=gbp&utm_campaign=North&WestBelfast,2676954821620312697,estate agents in belfast,Property People ,Belfast,56,True,
7,SMART Residential,"Unit 2, 16-18 Belmont Rd, Belfast BT4 2AN",54.6006273,-5.8774817,4.3,22.0,Estate Agent,028 9521 7587,http://www.srni.co.uk/,10657076175089122763,estate agents in belfast,Property People ,Belfast,57,False,
8,360Residential,"37 Malone Rd, Belfast BT9 6RX",54.5802635,-5.939073,4.9,12.0,Estate Agent,028 9066 8883,http://360residential.co.uk/,5228900109399976215,estate agents in belfast,Property People ,Belfast,58,False,
9,Vision Property,"Ladas House, 285-287 Castlereagh Rd, Belfast BT5 5FL",54.5848393,-5.8895846,4.3,69.0,Estate agent,028 9070 2999,http://www.visionpropertyagents.co.uk/,13192356706946565582,estate agents in belfast,Property People ,Belfast,59,False,
10,Fetherstons Estate Agents,"223a Upper Newtownards Rd, Belfast BT4 3JD",54.595124,-5.869128,4.2,33.0,Estate agent,028 9065 5060,http://www.fetherstons.com/,7506595754441031915,estate agents in belfast,Property People ,Belfast,60,False,
1,Property People Estate & Letting Agents South Belfast,"122 Lisburn Rd, Belfast BT9 6AH",54.5835593,-5.9438169,4.1,91.0,Estate Agent,028 9074 7300,https://www.propertypeopleni.com/location/south-and-east/?utm_source=localmaps&utm_medium=gbp&utm_campaign=southbelfast,17628867394624003879,estate agents in belfast,Property People ,Belfast,61,True,
2,Key Lets NI,"suite 1, 52 University St, Belfast BT7 1HB",54.586311699999996,-5.9315225,4.4,32.0,Estate agent,028 9002 0549,http://www.keyletsni.com/,8005402624883439582,estate agents in belfast,Property People ,Belfast,62,False,
3,Douglas Huston,"4 Malone Rd, Belfast BT9 5BN",54.5828299,-5.9367879,3.3,36.0,Estate agent,028 9068 3711,http://www.douglashuston.com/,16505542213899728197,estate agents in belfast,Property People ,Belfast,63,False,
4,Belfast Estate Agents,"32 Baronsgrange Pk, Carryduff, Belfast BT8 8LF",54.5194336,-5.8820866,5.0,2.0,Estate agent,07417 515164,https://www.belfastestateagents.co.uk/,9697788097916231281,estate agents in belfast,Property People ,Belfast,64,False,
5,Homes NI Property Portal,"Suite1, 2-26, Boucher Pl, Belfast BT12 6HT",54.5802869,-5.9641883,5.0,20.0,Estate agent,028 9049 0808,https://homesni.com/,16492310145077144606,estate agents in belfast,Property People ,Belfast,65,False,
6,Colin Graham Residential,"319 Antrim Rd, Glengormley, Newtownabbey BT36 5DY",54.6712486,-5.9583802,4.4,145.0,Estate agent,028 9083 2832,http://www.colingrahamresidential.com/,12112499517255769898,estate agents in belfast,Property People ,Belfast,66,False,
7,Nest Estate Agents,"Lanyon Annex, Jennymount Industrial Estate, N Derby St, Belfast BT15 3HN",54.6158803,-5.922081599999999,5.0,1.0,Estate agent,028 9013 9528,http://www.nestestateagents.com/,9923282611093823690,estate agents in belfast,Property People ,Belfast,67,False,
8,McGuinness Fleck,"7 Patton's Ln, Holywood BT18 9FX",54.640360799999996,-5.8351283,3.6,88.0,Estate Agent,028 9068 3020,http://www.mcguinnessfleck.com/,13697204733953952831,estate agents in belfast,Property People ,Belfast,68,False,
9,Cowley Property,"36 Cregagh Rd, Belfast BT6 9EQ",54.58445880000001,-5.898702800000001,3.9,12.0,Estate agent,028 9045 1248,http://www.cowleyproperty.com/,4751090897868233426,estate agents in belfast,Property People ,Belfast,69,False,
10,Forsythe Residential (Whiteabbey Village),"626 Shore Rd, Whiteabbey, Newtownabbey BT37 0ST",54.678383999999994,-5.8899479999999995,5.0,140.0,Estate Agent,028 9099 4444,https://www.forsytheresidential.co.uk/book-a-valuation,129794223969607323,estate agents in belfast,Property People ,Belfast,70,False,
1,Ulster Property Sales,"194 Cavehill Rd, Belfast BT15 5EX",54.633174399999994,-5.9478482,3.8,98.0,Estate agent,028 9072 9270,http://ulsterpropertysales.co.uk/,621553993878070926,estate agents in belfast,Property People ,Belfast,71,False,
2,TMC Estate Agents,"202 Andersonstown Rd, Belfast BT11 9EB",54.572803099999994,-5.993225,5.0,1.0,Estate Agent,028 9062 0621,https://www.tmcestateagents.com/,13792800133514776419,estate agents in belfast,Property People ,Belfast,72,False,
3,Macfarlane & Smyth,"31 Donegall St, Belfast BT1 2FG",54.6015295,-5.928197,3.0,39.0,Estate agent,028 9032 5888,http://www.macfarlanesmyth.com/,13898113443800177860,estate agents in belfast,Property People ,Belfast,73,False,
4,M & H Property Rental,"42 Woodvale Rd, Belfast BT13 3BT",54.606680999999995,-5.9614407,4.0,57.0,Property Rental Agency,028 9031 9231,http://www.mhpropertiesni.com/,9620563155343473875,estate agents in belfast,Property People ,Belfast,74,False,
5,Re:Lettings,"4, Forsyth House, East Bridge St, Belfast BT2 8LA",54.5955249,-5.9232552,4.7,26.0,Property management company,028 9099 8272,http://www.relettings.co.uk/,15322265080714574083,estate agents in belfast,Property People ,Belfast,75,False,
6,Pinpoint Property,"503 Lisburn Rd, Belfast BT9 7EZ",54.5769589,-5.9536113,3.4,64.0,Estate Agent,028 9068 2777,http://www.pinpointproperty.com/,12780280777100850513,estate agents in belfast,Property People ,Belfast,76,False,
7,Colliers New Homes,"25 Talbot St, Belfast BT1 2LD",54.6024178,-5.9277916,4.8,4.0,Estate Agent,028 9024 4000,https://www.colliersni.com/,5150329216716373735,estate agents in belfast,Property People ,Belfast,77,False,
8,The Rental Company NI Ltd,"109a Bloomfield Ave, Belfast BT5 5AB",54.5952193,-5.8883228999999995,3.8,43.0,Apartment Letting Agency,028 9046 0399,http://www.therentalcompany.co.uk/,9083437315584530428,estate agents in belfast,Property People ,Belfast,78,False,
9,Burbridge DuCann,"54 Bloomfield Ave, Belfast BT5 5AD",54.596139199999996,-5.888596799999999,4.3,6.0,Estate agent,028 9065 3444,http://www.burbridge-ducann.com/,6499845940486950206,estate agents in belfast,Property People ,Belfast,79,False,
10,McQuoids Estate Agents & Chartered Surveyors,"432-434 Ormeau Rd, Belfast BT7 3HY",54.5672308,-5.9133276,4.8,17.0,Estate Agent,028 9064 0018,https://www.mcquoids.co.uk/,14058595783616497046,estate agents in belfast,Property People ,Belfast,80,False,
1,Let2day,"207 Lisburn Rd, Belfast BT9 7EW",54.582103,-5.947223,5.0,1.0,Estate Agent,07553 346991,https://let2day.co.uk/,15740806910068732398,estate agents in belfast,Property People ,Belfast,81,False,
2,Mark Maguire & Co,"lynden house, 112-114 Lisburn Rd, Belfast BT9 6AH",54.5838523,-5.9433983,3.5,6.0,Estate agent,028 9066 1215,https://markmaguireproperty.co.uk/,10439362227967002617,estate agents in belfast,Property People ,Belfast,82,False,
3,Bladon & Co,"136 Lisburn Rd, Belfast BT9 6AJ",54.5832111,-5.944694699999999,5.0,2.0,Estate Agent,028 9002 7000,,17207603767406757957,estate agents in belfast,Property People ,Belfast,83,False,
4,Frazer Kidd & Partners,"Telfair House, 87-89 Victoria St, Belfast BT1 4PB",54.5991438,-5.9242965,4.4,15.0,Estate agent,028 9023 3111,http://www.frazerkidd.co.uk/,5141380946333971724,estate agents in belfast,Property People ,Belfast,84,False,
5,KINGSTON BERKELEY,"21 Donegall Rd., Belfast BT12 5JJ",54.5894694,-5.9355085,4.6,28.0,Estate agent,028 9693 1931,https://www.kingston-berkeley.com/,3587659925246093901,estate agents in belfast,Property People ,Belfast,85,False,
6,"Ulster Property Sales, Forestside","33, Forestside Shopping Centre, Upper Galwally, Belfast BT8 6FX",54.5639395,-5.9090508999999996,4.3,42.0,Estate agent,028 9064 1264,http://www.ulsterpropertysales.co.uk/estate-agents/forestside,3028010831139979308,estate agents in belfast,Property People ,Belfast,86,False,
7,Reeds Rains Estate Agents Glengormley,"8 Carnmoney Rd, Glengormley, Newtownabbey BT36 6HN",54.6712729,-5.9580382,4.8,137.0,Estate Agent,028 9084 3427,https://www.reedsrains.co.uk/estate-agent/glengormley?utm_source=google_my_business&utm_medium=organic&utm_campaign=QGLEN1,3667470305786914596,estate agents in belfast,Property People ,Belfast,87,False,
8,A Barton Company : Glengormley's Estate Agents,"309 Antrim Rd, Glengormley, Newtownabbey BT36 5DY",54.6710528,-5.9581567,4.7,17.0,Estate Agent,028 9083 2326,http://www.abartoncompany.co.uk/,7563435026247745906,estate agents in belfast,Property People ,Belfast,88,False,
9,Pinpoint Property,"188 Cavehill Rd, Belfast BT15 5EX",54.6327345,-5.9478832,2.9,29.0,Estate Agent,028 9068 2777,http://www.pinpointproperty.com/,11881888204194009337,estate agents in belfast,Property People ,Belfast,89,False,
10,Key One Property Ltd,"79 Rosetta Rd, Belfast BT6 0LR",54.5706492,-5.9012702,4.0,16.0,Property Rental Agency,028 9045 6162,https://www.keyoneproperty.co.uk/,17986282277655162700,estate agents in belfast,Property People ,Belfast,90,False,
1,Aria Residential,"21 Old Channel Rd, Belfast BT3 9DE",54.602666299999996,-5.910700599999999,3.0,26.0,Estate agent,028 9059 9599,http://ariaresidential.co.uk/,7789389546613038070,estate agents in belfast,Property People ,Belfast,91,False,
2,AS Residential,"329 Woodstock Rd, Belfast BT6 8PT",54.588777199999996,-5.901409999999999,4.6,22.0,Property management company,028 9068 7963,https://www.asresidential.com/,8449503367106237979,estate agents in belfast,Property People ,Belfast,92,False,
3,Property People Estate & Letting Agents West Belfast,"121 Andersonstown Rd, Belfast BT11 9BT",54.5741812,-5.9866088,3.8,10.0,Estate Agent,028 9074 7300,https://www.propertypeopleni.com/location/west-belfast/?utm_source=localmaps&utm_medium=gbp&utm_campaign=westbelfast,15999444184383233165,estate agents in belfast,Property People ,Belfast,93,True,
4,M&M PROPERTY SERVICES,"26 University Ave, Belfast BT7 1GY",54.5848887,-5.928515099999999,1.4,106.0,Property management company,028 9024 5555,http://www.mandmpropertyservices.com/,4536735692060453887,estate agents in belfast,Property People ,Belfast,94,False,
5,Simon Brien,"168 Cavehill Rd, Belfast BT15 5EX",54.6319514,-5.9475548,5.0,1.0,Estate Agent,028 9623 6996,https://www.simonbrien.com/,3692978054248633391,estate agents in belfast,Property People ,Belfast,95,False,
6,Simon Brien,"48 High St, Holywood BT18 9AE",54.641704,-5.834359699999999,4.8,43.0,Estate agent,028 9042 8989,http://www.simonbrien.com/,17490182741802309758,estate agents in belfast,Property People ,Belfast,96,False,
7,Castleridge Properties,"2 Lower Cres, Belfast BT7 1NR",54.5878759,-5.9344817,4.0,5.0,Property management company,028 9031 9700,http://www.castleridgeproperties.co.uk/,12620520885867090616,estate agents in belfast,Property People ,Belfast,97,False,
8,OKT (O'Connor Kennedy Turtle),"22 Adelaide St, Belfast BT2 8GD",54.593892999999994,-5.928147200000001,3.7,7.0,Estate agent,028 9024 8181,https://www.okt.co.uk/,10079097778084770043,estate agents in belfast,Property People ,Belfast,98,False,
9,John Minnis Estate Agents Holywood,"44 High St, Holywood BT18 9AD",54.641898299999994,-5.8340099,4.2,56.0,Estate agent,028 9042 8888,http://www.johnminnis.co.uk/,2336332781840834526,estate agents in belfast,Property People ,Belfast,99,False,
10,Elite Rooms Belfast Ltd,"168B Cavehill Rd, Belfast BT15 5EX",54.631955,-5.9475434,4.5,186.0,Property management company,07387 947772,https://www.eliteroomsbelfast.com/,16893800888082567715,estate agents in belfast,Property People ,Belfast,100,False,
1,Mullan Property,"1st Floor, Blackstaff Studios, 8-10 Blackstaff Rd, Amelia St, Belfast BT2 7GS",54.5945675,-5.9333194,4.2,5.0,Estate Agent,028 9032 2228,http://mullanproperty.co.uk/,2831075847218146889,estate agents in belfast,Property People ,Belfast,101,False,
2,Little Feather Management Ltd,"48-60 High St, Belfast BT1 2BE",54.600385599999996,-5.926379799999999,4.7,27.0,Property management company,028 9002 1522,http://littlefeather.net/,2726015082759911754,estate agents in belfast,Property People ,Belfast,102,False,
3,Method Property Solutions,"55-59 Adelaide St, Belfast BT2 8FE",54.5939555,-5.9285776,5.0,20.0,Property management company,028 9053 9805,https://methodpropertysolutions.com/,8978466077427326810,estate agents in belfast,Property People ,Belfast,103,False,
4,Addley Property Rentals,"Alexandra House, 3 Alexandra Park Ave, Belfast BT15 3ER",54.6175397,-5.9248004000000005,5.0,2.0,Property Rental Agency,07799 711573,,7906819851771950433,estate agents in belfast,Property People ,Belfast,104,False,
5,McKibbin Commercial Property Consultants,"Suite C1, Lanyon Quay, Belfast BT1 3LG",54.598232499999995,-5.9211390999999995,3.0,18.0,Property management company,028 9050 0100,http://www.mckibbin.co.uk/,5257350057881440648,estate agents in belfast,Property People ,Belfast,105,False,
6,Charles White Limited,"3rd Floor Cathedral Chambers, 143 Royal Ave, Belfast BT1 1FH",54.603099699999994,-5.930149999999999,3.7,32.0,Property management company,028 9560 9995,http://www.charleswhite.co.uk/,10095665450306063250,estate agents in belfast,Property People ,Belfast,106,False,
7,Ulster Property Sales,"303 Antrim Rd, Glengormley, Newtownabbey BT36 7AP",54.670764299999995,-5.957647499999999,4.6,93.0,Estate Agent,028 9083 3295,http://www.ulsterpropertysales.co.uk/,3694424672517103789,estate agents in belfast,Property People ,Belfast,107,False,
8,Kitson Residential,"Wellington Park Business Centre, Belfast BT9 6DJ",54.582526699999995,-5.9392229,4.0,8.0,Estate Agent,028 9038 8344,http://kitsonresidential.com/,8626481848321998751,estate agents in belfast,Property People ,Belfast,108,False,
9,Lettings Company,"Milltown Lodge, Antrim BT41 4PQ",54.7142774,-6.2149702,5.0,77.0,Estate Agent,07983 567878,http://www.lettings-company.com/,2290259070900473674,estate agents in belfast,Property People ,Belfast,109,False,
10,Savills (Ni) Ltd,"Longbridge House, 16-24 Waring St, Belfast BT1 2DX",54.6013437,-5.926203999999999,,,Estate Agent,,https://www.savills.ie/offices/belfast.aspx,12214963507837727818,estate agents in belfast,Property People ,Belfast,110,False,
